"id" "name" "sex" "age" "height" "weight" "team" "noc" "games" "year" "season" "city" "sport" "event" "medal"
"61" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Individual All-Around" NA
"62" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Team All-Around" NA
"63" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Floor Exercise" NA
"64" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Horse Vault" NA
"65" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Uneven Bars" NA
"66" 4712 "Elbieta Rozalia Apostolska (-Kamiska)" "F" 20 159 56 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Gymnastics" "Gymnastics Women's Balance Beam" NA
"67" 4834 "Krystian Aranowski" "M" 24 198 102 "Poland" "POL" "2012 Summer" 2012 "Summer" "London" "Rowing" "Rowing Men's Coxed Eights" NA
"68" 4834 "Krystian Aranowski" "M" 28 198 102 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Rowing" "Rowing Men's Coxed Eights" NA
"69" 4946 "Eugeniusz Arct" "M" 36 NA NA "Poland" "POL" "1936 Summer" 1936 "Summer" "Berlin" "Art Competitions" "Art Competitions Mixed Painting, Paintings" NA
"70" 5199 "Maria Arndt (-Staworzyska, -Blank)" "F" 22 170 62 "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Athletics" "Athletics Women's 200 metres" NA
